SR.NO,PROBLEM NO,LINK,DIFFICULTY LEVEL
1,4A,https://codeforces.com/problemset/problem/4/A,1
2,1A,https://codeforces.com/problemset/problem/1/A,1
3,71A,https://codeforces.com/problemset/problem/71/A,1
4,158A,https://codeforces.com/problemset/problem/158/A,1
5,118A,https://codeforces.com/problemset/problem/118/A,1
6,231A,https://codeforces.com/problemset/problem/231/A,2
7,50A,https://codeforces.com/problemset/problem/50/A,2
8,282A,https://codeforces.com/problemset/problem/282/A,2
9,112A,https://codeforces.com/problemset/problem/112/A,2
10,96A,https://codeforces.com/problemset/problem/96/A,2
11,339A,https://codeforces.com/problemset/problem/339/A,2
12,263A,https://codeforces.com/problemset/problem/263/A,2
13,281A,https://codeforces.com/problemset/problem/281/A,2
14,266A,https://codeforces.com/problemset/problem/266/A,2
15,236A,https://codeforces.com/problemset/problem/236/A,3
16,69A,https://codeforces.com/problemset/problem/69/A,3
17,58A,https://codeforces.com/problemset/problem/69/A,3
18,116A,https://codeforces.com/problemset/problem/116/A,3
19,122A,https://codeforces.com/problemset/problem/122/A,3
20,546A,https://codeforces.com/problemset/problem/546/A,3
21,158A,https://codeforces.com/problemset/problem/158/B,3
22,160A,https://codeforces.com/problemset/problem/160/A,3
23,133A,https://codeforces.com/problemset/problem/133/A,3
24,131A,https://codeforces.com/problemset/problem/131/A,3
25,266A,https://codeforces.com/problemset/problem/266/B,3